BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,11500,,64037,HomeImp,Other,,0,0,354.1745808,0,7,34.35573924
0,17600,72232,103081,DebtCon,Other,1,0,0,143.9671531,0,18,36.30996249
1,8700,62600,77600,DebtCon,Other,0.5,1,0,351.0333333,3,13,
1,21600,154991,,DebtCon,Self,,2,4,165.60083,0,43,38.01491727
0,25400,,45369,DebtCon,Other,,,,87.26384702,,12,27.5294977
0,22000,,72304,HomeImp,Office,9,0,0,120.5320184,2,4,20.17621345
0,8400,30146,39326,HomeImp,ProfExe,11,0,0,183.0927495,0,12,23.09720188
0,7400,,44651,HomeImp,Other,2,0,0,271.9181691,0,25,42.9300431
0,11900,114329,143915,DebtCon,ProfExe,15,,1,185.5726683,0,32,28.97773866
1,2500,25116,36350,HomeImp,Other,10,1,2,276.9666667,0,9,
0,17100,91502,113251,DebtCon,Other,18,0,0,289.9544006,0,16,24.45832061
0,16800,50050,140222,DebtCon,Other,4,0,0,272.4998353,5,43,40.03337824
0,15700,81709,111127,HomeImp,ProfExe,4,0,0,123.6244484,0,25,37.5606476
1,15000,83000,114000,DebtCon,ProfExe,18,0,0,207.2333333,0,27,
0,9000,8221,38290,DebtCon,Other,4,0,0,266.3837994,0,12,23.70306719
1,7000,83000,97635,HomeImp,Other,5.6,3,0,141,0,10,
0,13900,155486,178789,DebtCon,ProfExe,7,,1,192.482316,4,26,41.17671183
0,25000,65700,93400,DebtCon,Office,10,0,0,149.1666667,0,21,
0,20000,29400,52000,DebtCon,Other,,0,0,219.1333333,0,13,
0,12800,75139,105289,HomeImp,ProfExe,8,0,0,151.8511659,0,35,31.21070474
1,7500,42077,91676,HomeImp,Office,5.5,1,4,344.9,1,30,
0,18500,23618,37539,,Office,1,0,0,199.7237771,0,15,36.9827292
1,7500,57800,109600,DebtCon,Mgr,4,0,1,124.1333333,1,18,
0,17200,39316,66978,DebtCon,,4,0,0,99.98597596,1,10,26.43708406
0,23600,56023,83659,DebtCon,Mgr,5,0,0,267.7555345,2,25,32.20078133
1,23500,52457,77436,DebtCon,Other,16,0,0,,0,0,33.56876627
0,10100,137299,200339,DebtCon,ProfExe,0,0,0,66.35759046,2,23,35.2377013
1,15700,60316,80000,DebtCon,Mgr,0.2,1,0,85.2,1,23,
0,11100,67366,102936,DebtCon,Other,9,0,0,213.2814957,0,20,19.07865117
1,38800,31976,,DebtCon,Office,2,0,3,134.543886,1,24,
1,25000,110048,,DebtCon,Other,1,0,1,126.4,2,24,
0,20100,45764,79967,,,,,,,,,38.64772791
1,10000,59543,86800,DebtCon,Other,9,3,1,152.1333333,2,51,
1,12300,50230,70000,DebtCon,Sales,1,0,,184.3666667,2,20,
1,11900,63833,,DebtCon,Other,3,,,,,,40.93276678
0,8300,14601,66143,HomeImp,Office,24,0,0,320.2348822,1,12,40.01507057
1,28100,61000,99000,DebtCon,Mgr,7,0,1,129.1666667,1,31,
1,25000,103700,172762,DebtCon,Other,4,0,0,,0,0,
0,6900,,36191,HomeImp,Other,,,,311.8698993,,12,30.79062077
0,19700,70709,97394,DebtCon,Mgr,0,0,0,94.86046638,0,17,25.55670764
0,17800,51689,115660,DebtCon,ProfExe,16,0,0,270.044991,0,19,27.46700181
0,19000,145800,190300,DebtCon,ProfExe,13,,,109.6666667,1,24,
1,14200,,49060,DebtCon,Other,,,,,,,24.701642
0,15000,59000,86420,DebtCon,Office,1.5,0,0,160.3,0,25,
1,4100,,19132,HomeImp,Other,0,0,0,100.7746522,0,19,33.8409199
1,12000,54257,82764,,Other,14,1,1,188.3374218,2,31,38.94275964
1,20000,86019,94350,DebtCon,Other,3.7,0,1,119.7,0,16,
0,5700,71556,79538,HomeImp,Other,2,0,0,92.64308456,0,15,41.21001247
0,43000,18388,64896,DebtCon,Other,20,0,0,207.0664633,0,31,40.77787713
0,21600,93937,147792,DebtCon,ProfExe,23,0,0,156.6673122,0,25,40.19063608
0,12300,152274,177940,HomeImp,Office,4,0,0,196.8767577,0,56,33.72276915
0,5400,86922,119846,HomeImp,ProfExe,5,0,0,185.0763473,1,28,26.3548893
0,21900,61838,92091,DebtCon,Office,5,,,171.5767001,,16,37.80040089
1,10000,69727,90312,HomeImp,Office,4.5,5,1,122.8333333,,17,
0,7800,,30320,DebtCon,Other,2,0,0,295.1134207,0,13,23.24567301
0,62900,119903,201928,DebtCon,ProfExe,9,0,0,297.3074808,1,25,37.63650245
1,50000,38000,,DebtCon,ProfExe,26,7,6,150.2,0,25,
0,11200,65508,103523,DebtCon,Office,12,0,0,154.4273677,0,12,37.5754361
1,22400,15765,40456,HomeImp,Other,0,1,3,117.6666667,0,12,
0,12900,90646,100744,HomeImp,Other,19,0,0,141.2084606,3,23,31.52637971
1,5500,37368,48502,HomeImp,Mgr,9,0,2,48.995845,0,10,33.12648397
0,16300,102826,114692,DebtCon,Other,8,0,0,317.5079738,1,18,31.91423801
0,12800,29100,39264,HomeImp,Other,7,0,0,93.39500247,2,12,31.28306102
1,5400,45509,57453,DebtCon,Sales,4,0,0,95.6,0,22,
0,17700,36253,57420,DebtCon,ProfExe,3,0,0,267.7835088,1,34,37.93457008
0,8000,41000,54000,DebtCon,Mgr,4,0,0,189.7,1,22,
0,6300,,72890,HomeImp,Office,1,0,0,41.25011359,0,3,39.19806822
0,22800,76733,105624,DebtCon,Mgr,1,,,225.3275079,5,23,40.69195368
1,11600,57200,72500,DebtCon,Other,5,0,0,34.46666667,4,15,
0,21900,63967,102113,DebtCon,Office,10,,0,107.4498947,2,19,36.1837344
0,10500,64331,65040,HomeImp,Other,4,0,0,66.54105782,1,20,42.33212434
0,24700,111107,163926,DebtCon,Mgr,15,0,1,170.6294314,1,26,32.93429181
0,50800,,86207,HomeImp,Self,9,0,0,167.8236105,0,21,26.65051224
0,22000,71858,99000,DebtCon,Other,18,0,0,201.8666667,1,13,
0,15100,,32289,DebtCon,Other,13,,,81.95405483,1,9,33.53470838
0,9300,39307,51680,DebtCon,Office,8,0,0,196.0146349,0,23,30.7315717
1,24100,30951,58000,DebtCon,Mgr,11,0,4,36.5,0,12,
1,4500,118000,146870,HomeImp,ProfExe,4.5,2,0,203.8666667,1,20,
1,13000,7200,24869,HomeImp,Other,0.7,9,1,193.8,0,9,
0,25800,,51824,DebtCon,Other,,,,89.59981508,,12,28.54647846
0,27100,33649,63214,,Office,2,0,0,113.0367365,2,6,37.83786387
0,26400,153853,188760,HomeImp,Self,2,0,0,172.5708333,0,17,43.35819405
0,21000,86545,118000,HomeImp,Mgr,9.9,0,0,121.7666667,2,24,
1,42000,9999,50681,HomeImp,ProfExe,3,0,0,326.0679857,5,15,12.38674131
1,28000,28042,63500,DebtCon,ProfExe,14,2,4,121.7333333,4,28,
0,27100,24494,77479,DebtCon,Other,,1,1,101.3129167,1,26,31.12455386
0,10100,93085,110069,DebtCon,Other,13,0,0,206.799179,3,16,40.56989706
0,20900,69233,105434,DebtCon,Other,,2,0,242.1642572,1,13,40.16365053
0,31000,51370,103298,DebtCon,Office,0,0,0,175.6096146,2,25,38.09341464
1,8800,12750,,HomeImp,Office,23,,,,,,
0,26300,,43472,DebtCon,Other,,,,90.08032697,,12,28.68850032
0,21900,53598,74780,DebtCon,ProfExe,10,0,1,191.5519093,1,42,40.49010197
1,17000,87600,110000,DebtCon,Other,0.4,6,0,180.5666667,2,46,
1,13000,94941,120000,DebtCon,ProfExe,0.1,0,0,132.8666667,0,21,
1,11200,56877,65125,HomeImp,Other,6,2,0,12.17692857,0,1,33.24121888
1,17700,58016,76416,DebtCon,Office,4,0,0,28.01149175,5,10,41.46337333
1,13000,111000,137813,,Mgr,6,2,2,138.3333333,3,65,
0,12100,13218,82386,DebtCon,Other,7,0,0,262.3942543,0,14,18.43047238
0,17800,58942,91483,HomeImp,ProfExe,5,0,0,123.7366744,0,13,28.15595999
1,5500,,12972,HomeImp,Other,1,0,1,82.29426635,0,2,36.9867441
0,15100,73505,109656,DebtCon,Other,5,0,0,81.96415129,2,13,36.46121054
0,13300,,27136,HomeImp,,27,0,0,210.9969755,1,4,23.80714773
0,15900,96854,156450,DebtCon,Mgr,1,0,0,212.6660046,0,19,40.21338458
0,12100,83557,98881,HomeImp,ProfExe,6,0,0,102.2257045,1,26,25.78278709
1,14900,57557,80611,DebtCon,Other,12,0,0,103.1065045,0,7,39.84087535
0,28900,89945,124453,DebtCon,Other,2,0,0,194.9102495,2,25,42.71977457
1,12600,86785,110400,DebtCon,Other,0.7,1,,89.06666667,2,27,
0,14900,49849,70075,DebtCon,Office,0,0,0,153.691869,0,25,30.9009156
0,10400,64336,77564,DebtCon,Office,4,2,3,188.7800761,2,30,39.69998047
0,26700,73468,108774,DebtCon,ProfExe,11,0,0,290.0805914,1,32,39.0422045
0,37200,35515,76591,DebtCon,ProfExe,6,0,0,203.7080546,1,17,22.43213209
0,38600,145590,209950,HomeImp,ProfExe,4,0,0,149.8811289,0,31,35.58278883
0,14600,16535,46993,HomeImp,Office,24,0,0,260.8915332,0,20,28.1898371
1,25600,46000,80000,DebtCon,Other,,0,0,135.9,2,19,
0,13900,77007,96718,DebtCon,ProfExe,8,2,0,183.6086672,0,30,26.43131452
0,27900,113843,156282,DebtCon,ProfExe,7,0,0,109.9596262,2,27,33.94246485
1,20200,33000,62400,HomeImp,Other,1,0,0,123.8,2,2,
0,5500,87438,116679,HomeImp,ProfExe,6,0,0,186.424416,1,27,28.4175309
0,20500,173061,220886,DebtCon,Office,13,0,0,213.9143599,1,32,43.79573429
1,31500,16800,,DebtCon,,12,1,2,110.6333333,4,20,
0,9000,64917,102270,DebtCon,Other,10,0,0,213.0333333,0,21,
0,12000,81000,105250,DebtCon,ProfExe,9,0,0,200.9,2,37,
0,15900,68079,90212,HomeImp,Other,,0,0,304.2447551,0,19,30.42200388
1,10000,5200,53095,HomeImp,Other,5,3,3,234.3333333,3,17,
0,8600,57727,70828,HomeImp,Other,5,0,0,87.84531097,3,19,41.75352499
0,14900,22245,31531,DebtCon,Office,7,0,0,91.07421818,0,16,21.62058028
1,20000,,115750,HomeImp,Other,,0,2,132.5333333,0,10,
0,25500,26603,64347,,Office,1,0,0,117.432365,1,6,39.25791203
0,10800,49953,75322,DebtCon,Other,0,0,0,58.89273133,8,21,23.87594619
0,23900,,62276,DebtCon,Other,26,0,0,127.024625,0,8,20.40782558
0,14700,27235,39102,HomeImp,Other,8,0,0,71.42081509,2,11,29.15169816
0,16500,48491,112677,HomeImp,Office,2,,2,138.0960861,1,23,37.25333322
0,17000,118822,208429,DebtCon,Other,3,0,0,206.7370713,0,16,25.87399085
0,14700,65660,81937,DebtCon,Office,2,0,0,106.6575189,1,19,25.19780688
0,23700,104752,143913,HomeImp,,,,,,,,36.76101419
1,10000,34350,54146,DebtCon,Other,3,0,0,144.4228889,0,18,31.5390134
1,50000,26976,,DebtCon,Mgr,8.3,1,0,111.6,1,6,
0,10800,59469,69834,DebtCon,Other,3,0,0,308.7591757,0,9,34.09578509
1,24100,164155,225184,HomeImp,Self,2,,,,,,31.56422692
1,15300,21383,38480,HomeImp,Mgr,20,0,1,182.6,4,31,
0,8500,61607,81126,HomeImp,Other,16,0,0,222.2111903,1,35,34.72969809
1,17000,74910,112375,DebtCon,Office,41,0,0,95.2,3,28,
0,18300,121001,210685,DebtCon,Other,2,0,0,192.9772854,0,16,26.86050033
0,43100,13356,64852,HomeImp,Office,,0,0,320.3105483,0,19,15.60459962
1,10000,34900,48000,HomeImp,Other,3,0,0,288.1666667,1,3,
0,15900,107336,120451,DebtCon,Other,1,0,0,123.4655194,2,21,37.99240801
0,10000,66000,89145,DebtCon,Office,9,0,0,215.0333333,3,29,
0,21800,,25566,DebtCon,ProfExe,8,0,0,114.5417511,1,19,21.82563105
1,11000,63975,235000,HomeImp,ProfExe,4,5,0,123.7666667,1,17,
1,6700,,20631,HomeImp,Mgr,4,0,0,174.7218341,1,8,62.24645112
0,30700,36804,83295,DebtCon,Other,,,,289.3998161,0,15,42.21386978
0,12900,45215,66162,DebtCon,Other,4,0,0,170.7645169,0,14,39.24801492
1,15500,54653,73117,DebtCon,Other,13,,,,,,29.54185091
1,13000,125969,144076,DebtCon,Other,4,0,0,110.1931963,2,30,48.9777317
1,19600,117646,149975,DebtCon,Other,4,0,0,114.2136149,1,12,31.22280265
0,11800,112146,140781,DebtCon,ProfExe,14,,0,170.7005075,0,32,29.9424924
1,29400,48800,86000,DebtCon,Other,5,1,0,52.76653273,2,21,
0,14700,49264,68591,DebtCon,Other,9,0,0,237.8391591,0,18,31.25670012
0,25000,94000,141750,DebtCon,Mgr,22,0,0,209,0,13,
0,6800,136951,160306,HomeImp,ProfExe,11,0,0,219.7356734,1,18,20.8850935
1,19600,94419,123705,DebtCon,Self,19,,2,92.7393804,0,22,84.37903408
1,6400,25144,45200,HomeImp,Other,25,0,2,128,4,17,
0,27700,25947,49836,DebtCon,Other,24,0,0,120.0258521,0,10,23.81017336
0,8000,53000,65960,HomeImp,Other,7.5,0,0,132.5666667,0,17,
1,5500,24700,35675,DebtCon,Other,1,0,3,153.9333333,3,27,
1,15500,48100,67000,DebtCon,Other,15,,,,,,
0,8300,54039,89301,HomeImp,Other,18,0,0,173.1913224,0,28,26.26681575
0,12700,58606,83010,DebtCon,Other,1,0,0,125.3258854,3,11,35.99961072
0,17500,101354,117209,DebtCon,ProfExe,1,0,0,136.1582225,0,30,36.8517233
0,50300,,88313,HomeImp,Other,,0,0,344.4097766,0,7,22.16959631
1,20900,122807,150896,DebtCon,Other,5,0,0,123.4795377,2,13,30.4244811
1,49500,247500,,,Other,0,0,4,160.3333333,2,25,
1,21000,48735,71694,DebtCon,Other,8,0,0,48.49897084,3,10,32.92140064
1,4100,58500,65000,HomeImp,Other,8,1,2,63.93333333,2,15,
0,12800,58592,87002,DebtCon,Office,13,0,0,139.5308428,0,24,37.53107709
0,17200,48999,76544,DebtCon,ProfExe,5,0,0,240.5227465,3,31,32.84175391
1,37000,93378,145000,DebtCon,Sales,15,,2,368.7,1,27,
1,16200,71530,88569,DebtCon,Mgr,14,0,0,,0,1,35.88671015
0,31900,16363,43218,DebtCon,Other,29,0,0,200.3016025,0,14,42.09417911
1,19200,62334,91300,DebtCon,Mgr,8,0,1,92.33333333,4,13,
0,16700,12830,56465,DebtCon,ProfExe,3,0,0,301.1485223,0,15,18.25148086
0,20900,59228,92224,DebtCon,Office,1,0,0,157.0711836,1,21,37.67720937
1,13800,35807,40700,DebtCon,Other,1,0,0,91.26666667,1,17,
0,13500,68262,93841,HomeImp,Office,26,0,0,159.61702,1,14,40.75298037
0,31700,55247,103246,DebtCon,Office,3,0,0,177.2769279,1,25,35.30277411
0,6500,33639,37345,HomeImp,ProfExe,11,0,0,191.0756559,0,13,24.22731934
0,24100,,49433,DebtCon,Other,,,,83.09972613,,13,26.14897018
0,25600,241570,264772,HomeImp,Self,4,1,0,260.7419889,2,50,37.37997465
1,24000,19500,38000,DebtCon,Other,,0,1,198.9,,17,
1,19600,109500,136000,DebtCon,ProfExe,12,2,0,183.9666667,3,32,
0,24500,,149489,,,,,,,,,15.44348605
1,11600,57939,69774,DebtCon,Mgr,5,0,0,91.99164592,0,12,72.26409333
1,15000,89200,114750,DebtCon,ProfExe,11,0,0,114.6,0,27,
0,88800,53307,94058,DebtCon,Other,16,0,0,218.3049777,0,15,34.24246473
1,3000,,14500,HomeImp,Other,3,0,0,9.3,14,2,
1,8500,48961,73550,HomeImp,Other,11,6,1,145.1,4,11,
0,8400,75912,95329,DebtCon,Mgr,18,0,1,294.1642246,0,24,38.64180454
0,9700,8852,60599,HomeImp,Other,7,2,1,359.1044913,1,21,16.87198276
0,26000,81764,118388,DebtCon,ProfExe,9,0,0,130.1924181,0,18,28.15413466
0,22600,133264,172882,DebtCon,ProfExe,6,1,0,190.2475602,0,37,19.97395503
0,19000,43479,78631,DebtCon,Other,1,,1,301.4036915,1,10,38.25309688
0,16800,67049,89729,HomeImp,Other,,0,0,286.3751286,0,20,28.73912802
1,21000,52411,90031,,ProfExe,5,2,1,90.4254746,3,24,41.96624947
1,17000,,,HomeImp,,1,0,0,111.2350118,0,21,31.36287239
1,6000,40000,54600,HomeImp,ProfExe,4,0,4,101.4,0,19,
0,22400,71784,101695,DebtCon,Other,,2,1,239.903304,2,14,42.81636756
0,9300,30204,57036,,Other,30,0,0,235.492813,0,19,23.13784056
1,11100,,26400,HomeImp,Other,8,0,0,,2,0,
1,20000,16000,87300,DebtCon,Other,28,1,6,232.3333333,1,21,
0,8300,44783,63424,HomeImp,Other,2,0,,97.90083621,,12,36.5878698
0,20500,93761,94895,DebtCon,ProfExe,1,1,0,118.276051,0,20,33.70161545
0,11100,61856,77275,HomeImp,Other,4,0,1,243.7137741,1,16,36.56411956
1,16800,113021,146222,,Mgr,5,3,2,123.8934197,2,65,62.55930782
1,12000,,,HomeImp,Other,3,0,2,213.6666667,1,15,
0,15000,95300,135700,DebtCon,Office,3,,,115.6666667,3,16,
0,9200,19756,26140,DebtCon,Other,0,1,0,0.486711451,9,7,27.07525664
1,7500,,,HomeImp,Other,21,,,158.9,1,21,
1,40000,159000,225000,HomeImp,Self,5,0,0,6.133333333,8,3,
0,10300,54925,84078,HomeImp,Other,2,0,1,189.6952729,0,13,29.13369741
0,12600,84933,110253,DebtCon,ProfExe,8,0,0,192.4226063,1,37,40.84507779
1,25000,123184,200000,DebtCon,Other,12,0,1,160.3,1,32,
0,50000,174900,250000,DebtCon,ProfExe,5.5,0,0,235.4333333,2,33,
0,21500,100727,146904,HomeImp,ProfExe,11,0,0,153.2238882,1,23,34.96596275
1,12000,42000,60000,DebtCon,Other,4,1,2,145.5333333,0,23,
0,11100,148235,182053,HomeImp,Office,4,0,0,198.8097171,0,55,33.53872615
1,23300,71734,100072,DebtCon,ProfExe,6,0,7,122.7994431,0,21,34.53043859
0,21000,63405,86804,DebtCon,Office,5,,,156.8727507,,15,37.43378459
1,24500,95736,134000,HomeImp,Mgr,1.5,0,1,122.5,2,20,
1,10000,46946,65000,HomeImp,Office,7.2,0,1,80.1,1,12,
0,21200,70096,108632,HomeImp,Other,4,0,0,200.0149175,1,13,29.64128644
1,31800,60279,97875,DebtCon,Mgr,6,0,11,312.4333333,0,46,
0,12300,27859,48393,HomeImp,Other,10,0,0,82.76016033,0,3,34.38536707
0,26100,150464,203202,HomeImp,Other,10,0,0,248.4819453,1,33,43.11219067
0,15400,50121,67755,DebtCon,Other,3,0,0,168.748032,0,14,37.56086276
1,15000,5500,29025,DebtCon,Other,25,0,5,275.5,1,19,
0,25400,82553,107422,DebtCon,Mgr,9,1,0,305.7597054,2,29,32.72167844
0,13100,,47568,HomeImp,Other,0,0,0,319.5959373,0,8,25.83678517
1,18200,95091,113294,DebtCon,ProfExe,15,0,3,188.504617,0,36,78.65438605
0,14700,47177,68456,HomeImp,ProfExe,3,0,0,193.6850688,2,18,34.54253324
1,25000,112000,157000,DebtCon,Office,5.5,0,0,63.9,3,9,
1,19000,105200,130000,HomeImp,Self,5,1,0,237.4333333,1,27,
1,10800,194485,228670,HomeImp,ProfExe,1,0,0,75.45815036,,4,28.37013088
0,8200,66254,74994,DebtCon,ProfExe,7,0,0,60.38486252,1,24,39.72610514
0,25200,137054,207511,HomeImp,ProfExe,4,0,0,188.5746595,0,27,39.96388766
1,6000,22859,32200,DebtCon,Other,4,0,0,83.33333333,3,20,
0,24900,,48291,DebtCon,Other,,,,94.07837758,,12,25.61784573
1,27700,19300,39000,DebtCon,Mgr,12,3,0,212.0666667,0,46,
0,11400,43530,56600,HomeImp,Other,21,0,0,114.982979,0,23,39.4816629
1,7500,50000,80000,HomeImp,Other,9,,5,299.5666667,2,18,
0,42200,,55578,DebtCon,Other,,6,,115.8781891,,20,28.23841231
0,12900,70167,90812,HomeImp,Office,25,0,0,177.0806266,2,13,40.22569567
0,8200,172497,249071,DebtCon,Sales,,0,0,114.9819744,0,21,41.09802515
1,12400,50573,84008,DebtCon,Other,15,1,0,76.04208693,0,7,41.02796675
1,20000,116932,138072,HomeImp,Other,19,0,0,171.4666667,2,23,
0,26100,20566,50534,DebtCon,Other,24,0,0,140.5532102,1,10,24.09826676
0,6900,97662,110046,HomeImp,Office,24,0,0,111.1233973,0,11,37.25315085
1,25000,95000,127000,HomeImp,ProfExe,15,1,2,296.2,2,27,
0,17000,97713,164869,,Other,,0,,253.4763166,,23,36.45229579
0,42600,22446,66485,DebtCon,Other,17,0,0,204.2036332,0,30,41.15627594
0,16100,49244,65523,HomeImp,Office,2,0,0,110.2198934,0,17,31.00152371
1,1700,30548,40320,HomeImp,Other,9,0,0,101.4660019,1,8,37.11361356
0,5500,71644,72696,HomeImp,Sales,4,2,0,150.8658451,0,22,40.44256779
1,15000,,,DebtCon,,0,2,1,91.26666667,1,10,
0,26300,,45913,DebtCon,Other,,,,92.57722408,,13,27.92400089
1,24900,77000,115006,DebtCon,Other,10,0,0,293.2333333,0,36,
0,13700,59530,81068,DebtCon,Other,0,0,0,108.0191417,3,10,37.84664809
1,16800,87300,155500,DebtCon,Other,3,0,0,1154.633333,0,0,
0,10000,87579,105000,DebtCon,Other,13,0,0,209.9666667,3,16,
1,38000,94083,132791,DebtCon,Self,10,0,1,212.992728,0,64,62.80173209
0,10000,63218,76500,DebtCon,Office,5,2,3,183.6666667,3,30,
0,17800,100277,163702,,Other,,1,,256.8544712,,24,36.35403645
0,16900,31143,75125,HomeImp,Other,,1,0,237.1790454,0,49,42.13228057
0,10000,59764,77870,DebtCon,Sales,7,0,0,136.9,0,35,
0,15200,41049,50892,DebtCon,ProfExe,1,0,0,276.1673578,1,34,38.37983372
1,10900,,16365,HomeImp,Other,,0,0,59.54870268,1,2,24.19590363
0,27200,83894,121302,DebtCon,ProfExe,6,0,1,124.2746965,0,18,29.73248931
0,13900,47741,69111,DebtCon,Other,2,0,0,254.2596131,0,21,28.88561818
0,40600,14534,60000,DebtCon,Other,20,0,0,206.9666667,1,31,
0,13500,91734,114906,DebtCon,Other,12,0,0,211.8769452,3,15,38.10420812
1,24400,119000,144400,DebtCon,Mgr,33,0,2,229.3,7,36,
1,17500,110603,142000,DebtCon,Other,1,1,0,163.0666667,3,25,
1,22100,57000,83000,DebtCon,Other,7,0,0,,0,0,
0,51000,39609,60837,DebtCon,Office,5,0,,178.8886708,0,16,30.84104501
1,15500,82054,104627,DebtCon,Sales,3,0,0,9.048515086,1,35,60.64575626
0,13200,69195,79252,DebtCon,Office,13,0,0,248.7881304,3,37,41.90560462
0,16900,30856,56961,HomeImp,Other,11,0,0,116.8177074,1,10,20.34458217
0,34600,143542,195327,DebtCon,ProfExe,23,0,0,174.6353487,1,22,37.44738401
0,12800,77318,97616,DebtCon,Mgr,6,0,0,125.5348018,2,27,39.46266339
0,88500,50240,94687,DebtCon,Other,16,0,0,214.4262056,0,16,34.75115835
1,15000,,54869,DebtCon,Office,8,,,,,,
1,36000,124000,176000,DebtCon,Other,21,,,257.7,5,35,
0,10200,70882,98154,DebtCon,Other,16,,,153.1181363,3,15,25.1199559
0,21800,48162,70361,DebtCon,Office,2,0,0,227.9862791,0,12,36.0618164
0,18600,72860,90347,DebtCon,Other,0,1,1,104.0404669,2,26,36.02592528
0,16500,44946,64918,HomeImp,Other,25,0,0,247.2784079,0,14,24.35794954
1,25000,59000,34000,DebtCon,Sales,10,4,2,125.8333333,7,23,
1,4000,5700,18000,DebtCon,Other,,0,0,12.2,0,17,
1,12000,58730,80000,DebtCon,Office,10,,4,123.1,3,25,
0,15300,127172,156578,DebtCon,Mgr,,0,0,213.2860218,0,19,36.29035353
1,41800,147416,227168,DebtCon,Self,2,0,4,157.6682359,3,28,
1,13100,54000,74750,DebtCon,Other,14,1,0,92.4,0,9,
0,14400,61121,88844,HomeImp,Other,,0,0,295.792111,0,20,30.30376695
1,12600,48983,65000,DebtCon,Other,5,1,0,58.7,7,23,
0,22800,74979,109716,DebtCon,Mgr,9,0,1,289.8223697,1,28,31.47990688
1,21400,95147,132304,DebtCon,Office,7,1,5,206.1276648,1,18,36.23566539
0,12000,150000,175065,DebtCon,ProfExe,7,,1,206.6666667,4,26,
1,22000,96127,122000,DebtCon,Mgr,24,0,2,301.3,3,36,
0,24200,49798,67458,DebtCon,Other,6,0,0,68.93111023,2,18,36.46436586
0,21600,45421,75632,DebtCon,Office,2,0,1,230.2422347,0,11,33.45738088
0,11100,35782,45550,HomeImp,Other,8,0,0,109.2843458,0,3,36.15980592
0,35700,238104,43026,DebtCon,Mgr,3,0,1,206.6470786,3,49,41.27663712
0,50900,,85196,HomeImp,Other,,0,0,351.4508781,0,6,21.59548
0,27500,,40807,DebtCon,Other,8,1,,95.53351917,,13,20.39892362
0,21400,7259,24770,DebtCon,Other,,0,0,62.26356587,2,18,41.57670052
1,15000,16400,205950,DebtCon,Mgr,10,8,3,135.9333333,11,42,
0,14900,101179,117405,HomeImp,Office,2,0,0,133.9305097,1,22,35.54740722
1,15500,57993,82248,DebtCon,Other,10,0,0,173.0729685,0,16,32.14246898
0,12000,94000,112125,HomeImp,Office,2,0,0,143.0333333,1,22,
0,14000,92583,114379,DebtCon,Other,10,0,0,169.4483417,0,27,34.1307686
0,9200,92395,114494,HomeImp,Office,24,0,0,130.3767882,1,11,39.11215036
1,16200,83448,135447,DebtCon,Mgr,17,0,5,129.7801316,9,19,45.55441548
0,15400,25822,43334,,Office,1,0,0,211.0166419,0,15,40.52940513
1,31200,38352,80550,DebtCon,Mgr,21,1,0,116.4379076,0,14,35.38186329
0,13600,55901,87519,DebtCon,Office,13,0,1,107.9131329,0,23,36.3270224
1,10600,22000,35200,DebtCon,Mgr,13,0,0,90.33333333,5,14,
0,15100,127045,163833,DebtCon,Office,4,0,0,135.9752767,0,21,25.86181234
0,15900,97478,120514,DebtCon,Office,1,,3,264.2609164,1,29,41.84027524
1,20000,145500,194000,HomeImp,Self,4.5,0,0,67.9,5,5,
0,24300,50826,68199,DebtCon,Other,7,0,0,71.1819889,1,19,36.49620108
1,9600,24680,43500,DebtCon,Other,18,0,3,114.6666667,0,19,
1,7500,32070,36811,DebtCon,Other,1,1,0,228.0360001,0,6,30.16221411
1,15000,77544,102000,DebtCon,Sales,4,0,0,11.7,2,35,
0,16600,97749,164103,,Other,,1,,263.8467774,,23,37.38685429
0,24300,21660,48475,DebtCon,Other,26,0,0,102.7828355,0,10,23.24795828
0,20000,170706,224233,DebtCon,Office,11,0,0,207.0346845,0,32,41.10248922
1,19000,46300,72000,DebtCon,ProfExe,5,1,1,215.0333333,6,24,
1,14700,51829,69136,DebtCon,Other,14,0,0,169.9853078,0,18,35.63539385
0,18600,20915,40098,,Office,2,0,0,213.4505369,0,16,40.25003373
0,47600,39364,108232,HomeImp,Self,9,0,0,199.3332859,2,35,40.18942197
0,12000,30777,43157,DebtCon,Other,8,,0,151.699431,7,28,38.17774295
1,14000,,42500,DebtCon,Other,,,,,,,
0,9600,84333,201281,HomeImp,Self,14,0,0,13.21305726,,7,17.82563094
1,20500,52031,64975,,Other,2.5,1,3,105.5333333,2,33,
0,33700,132617,172152,DebtCon,Mgr,15,0,0,178.4111833,1,28,42.45764485
0,28900,,117991,DebtCon,Mgr,7,0,0,159.5500246,0,27,32.16500253
1,25000,,72970,DebtCon,ProfExe,1.8,4,0,198.8,0,18,
0,11200,29348,87351,HomeImp,ProfExe,20,0,0,224.3948946,0,11,26.1296273
0,11900,201264,227295,HomeImp,ProfExe,10,0,0,239.7433663,0,22,33.77633696
0,16100,99844,114647,DebtCon,Other,11,0,0,169.983556,0,27,33.52327854
0,59500,47485,69981,DebtCon,Other,4,0,0,100.1393112,0,20,29.47367331
0,53800,,81322,HomeImp,Self,9,0,0,171.4475547,0,22,24.70906036
